#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	CD4	9606.ENSP00000451828	9606.ENSP00000011653	0	0	0	0	0.042	0.081	0	0.832	0.839
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	HMOX1	9606.ENSP00000451828	9606.ENSP00000216117	0	0	0	0	0.042	0.087	0	0.786	0.796
AKT1	TIMP1	9606.ENSP00000451828	9606.ENSP00000218388	0	0	0	0	0.056	0.045	0	0.599	0.607
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.055	0	0	0.844	0.846
AKT1	TGFB1	9606.ENSP00000451828	9606.ENSP00000221930	0	0	0	0	0.104	0.126	0	0.845	0.868
AKT1	SERPINE1	9606.ENSP00000451828	9606.ENSP00000223095	0	0	0	0	0	0	0	0.608	0.608
AKT1	CCL2	9606.ENSP00000451828	9606.ENSP00000225831	0	0	0	0	0	0	0	0.720	0.720
AKT1	COL1A1	9606.ENSP00000451828	9606.ENSP00000225964	0	0	0	0	0	0.084	0	0.683	0.697
AKT1	VTN	9606.ENSP00000451828	9606.ENSP00000226218	0	0	0	0	0.055	0	0	0.510	0.517
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0	0.692	0.692
AKT1	IFNG	9606.ENSP00000451828	9606.ENSP00000229135	0	0	0	0	0.049	0	0	0.816	0.817
AKT1	IL4	9606.ENSP00000451828	9606.ENSP00000231449	0	0	0	0	0.057	0	0	0.694	0.699
AKT1	IL5	9606.ENSP00000451828	9606.ENSP00000231454	0	0	0	0	0	0	0	0.449	0.449
AKT1	CRP	9606.ENSP00000451828	9606.ENSP00000255030	0	0	0	0	0	0	0	0.530	0.530
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	MMP7	9606.ENSP00000451828	9606.ENSP00000260227	0	0	0	0	0.069	0	0	0.585	0.597
AKT1	MMP13	9606.ENSP00000451828	9606.ENSP00000260302	0	0	0	0	0.055	0	0	0.571	0.578
AKT1	TIMP2	9606.ENSP00000451828	9606.ENSP00000262768	0	0	0	0	0.060	0.045	0	0.510	0.521
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
